iter	Passed	Remaining
0	12	12381
1	23	11898
2	34	11467
3	44	11015
4	53	10593
5	62	10426
6	72	10341
7	82	10175
8	91	10043
9	100	9908
10	109	9842
11	118	9738
12	127	9680
13	136	9586
14	143	9424
15	152	9394
16	160	9282
17	168	9185
18	175	9073
19	183	8992
20	191	8915
21	199	8852
22	206	8774
23	214	8708
24	221	8648
25	229	8598
26	237	8550
27	244	8496
28	251	8435
29	259	8380
30	266	8319
31	273	8264
32	280	8218
33	287	8163
34	294	8121
35	300	8059
36	307	8008
37	314	7957
38	321	7912
39	328	7873
40	334	7831
41	341	7790
42	348	7759
43	355	7716
44	362	7684
45	368	7646
46	375	7619
47	382	7585
48	388	7549
49	395	7512
50	401	7479
51	408	7452
52	415	7426
53	422	7404
54	429	7378
55	436	7356
56	443	7332
57	449	7307
58	456	7286
59	463	7258
60	470	7238
61	477	7219
62	484	7199
63	490	7177
64	497	7160
65	504	7141
66	511	7120
67	518	7108
68	525	7086
69	531	7067
70	538	7046
71	545	7031
72	551	7006
73	557	6973
74	562	6943
75	568	6911
76	575	6893
77	581	6868
78	586	6841
79	593	6830
80	600	6811
81	606	6787
82	612	6770
83	619	6753
84	625	6735
85	631	6707
86	637	6691
87	644	6676
88	650	6655
89	656	6636
90	661	6611
91	668	6598
92	674	6579
93	680	6558
94	686	6535
95	691	6514
96	698	6502
97	704	6488
98	711	6475
99	717	6453
100	722	6433
101	728	6416
102	734	6397
103	740	6383
104	747	6370
105	752	6350
106	759	6338
107	765	6326
108	772	6312
109	778	6297
110	783	6276
111	789	6259
112	795	6241
113	801	6226
114	807	6213
115	813	6197
116	818	6180
117	825	6167
118	830	6151
119	836	6133
120	842	6117
121	847	6102
122	853	6085
123	859	6069
124	864	6053
125	870	6038
126	876	6024
127	882	6009
128	888	6001
129	895	5990
130	901	5978
131	906	5963
132	912	5948
133	918	5935
134	924	5921
135	929	5905
136	935	5890
137	940	5877
138	946	5861
139	952	5848
140	958	5838
141	963	5823
142	969	5809
143	975	5796
144	981	5787
145	987	5775
146	993	5764
147	998	5750
148	1004	5737
149	1010	5726
150	1016	5715
151	1022	5703
152	1027	5690
153	1033	5679
154	1039	5666
155	1045	5655
156	1050	5642
157	1057	5634
158	1063	5625
159	1069	5614
160	1074	5601
161	1080	5590
162	1087	5583
163	1093	5572
164	1098	5559
165	1104	5548
166	1110	5536
167	1115	5526
168	1121	5514
169	1127	5503
170	1133	5495
171	1139	5487
172	1146	5480
173	1153	5477
174	1160	5470
175	1166	5462
176	1173	5454
177	1179	5444
178	1184	5432
179	1190	5421
180	1196	5414
181	1202	5403
182	1207	5391
183	1213	5380
184	1219	5372
185	1225	5363
186	1231	5354
187	1237	5343
188	1243	5334
189	1248	5324
190	1254	5313
191	1260	5304
192	1266	5294
193	1272	5284
194	1278	5277
195	1284	5269
196	1291	5264
197	1297	5256
198	1304	5250
199	1310	5243
200	1317	5236
201	1324	5231
202	1330	5224
203	1337	5217
204	1343	5209
205	1349	5201
206	1355	5191
207	1360	5181
208	1367	5173
209	1373	5165
210	1378	5156
211	1384	5147
212	1390	5137
213	1396	5127
214	1401	5117
215	1407	5108
216	1413	5102
217	1420	5094
218	1425	5084
219	1431	5076
220	1437	5067
221	1443	5058
222	1450	5052
223	1456	5046
224	1462	5038
225	1469	5031
226	1475	5024
227	1482	5018
228	1488	5012
229	1495	5005
230	1501	4998
231	1507	4990
232	1514	4984
233	1520	4976
234	1526	4968
235	1532	4960
236	1537	4950
237	1543	4941
238	1548	4931
239	1554	4923
240	1560	4913
241	1565	4904
242	1571	4895
243	1577	4887
244	1582	4877
245	1588	4869
246	1594	4860
247	1600	4852
248	1607	4849
249	1613	4840
250	1618	4831
251	1624	4822
252	1630	4813
253	1636	4807
254	1642	4799
255	1648	4792
256	1655	4785
257	1661	4779
258	1668	4772
259	1674	4765
260	1680	4759
261	1686	4750
262	1691	4741
263	1697	4732
264	1703	4724
265	1709	4716
266	1715	4709
267	1720	4700
268	1726	4691
269	1732	4683
270	1737	4675
271	1744	4667
272	1749	4659
273	1755	4650
274	1760	4641
275	1766	4632
276	1772	4625
277	1777	4617
278	1783	4609
279	1789	4602
280	1796	4595
281	1802	4588
282	1808	4582
283	1815	4575
284	1821	4568
285	1827	4561
286	1833	4553
287	1838	4546
288	1844	4538
289	1850	4530
290	1856	4522
291	1861	4514
292	1867	4506
293	1872	4497
294	1878	4488
295	1884	4481
296	1889	4473
297	1895	4465
298	1901	4457
299	1906	4449
300	1912	4442
301	1919	4435
302	1924	4427
303	1930	4419
304	1936	4413
305	1943	4406
306	1949	4400
307	1955	4393
308	1962	4388
309	1968	4381
310	1974	4374
311	1980	4366
312	1985	4359
313	1991	4351
314	1997	4344
315	2003	4336
316	2010	4330
317	2015	4322
318	2021	4315
319	2027	4307
320	2032	4299
321	2038	4291
322	2043	4283
323	2049	4276
324	2055	4268
325	2061	4261
326	2066	4253
327	2072	4246
328	2078	4239
329	2084	4232
330	2090	4224
331	2097	4219
332	2103	4214
333	2109	4207
334	2116	4201
335	2122	4194
336	2128	4187
337	2135	4181
338	2140	4174
339	2146	4166
340	2152	4159
341	2158	4152
342	2164	4145
343	2170	4138
344	2176	4131
345	2182	4125
346	2188	4118
347	2194	4110
348	2199	4103
349	2205	4095
350	2211	4088
351	2216	4081
352	2222	4073
353	2228	4066
354	2234	4060
355	2240	4053
356	2246	4046
357	2252	4039
358	2258	4031
359	2263	4024
360	2269	4017
361	2275	4010
362	2281	4002
363	2286	3995
364	2292	3988
365	2298	3980
366	2303	3973
367	2309	3966
368	2315	3958
369	2320	3951
370	2326	3944
371	2332	3937
372	2337	3929
373	2343	3922
